IdBordereau,IdBureau,Annee,Date,Heure,RefPaiement,NumEnvoi,IdPays,Poids,Montant,cp,cite,codepays,ville,cpDest,citeDest,paysDest,villeDest,portee,CodeService,type_service,CodeISOPays,type_source,IdBureau_original,est_agence
743,2260,2024,2024-01-04,1144,C,CP321216694TN,TN,2.394,4.3,2260,RUE SOUK,TN,DEGACHE,1002,TUNIS,TN,TUNIS,National,CP,Normal,TN,normal,2260,False
683,2001,2024,2024-01-09,0823,P,UP001891326TN,FR,1.942,26.0,2001,ENNASR,TN,ARIANA,133340,ROGNAC,FR,ROGNAC,National,UP,Normal,TN,normal,2001,False
747,2001,2024,2024-02-07,1103,P,UP001891670TN,FR,0.487,16.0,2001,ENNASR,TN,ARIANA,13300,SALON DE PROVENCE,FR,FRANCE,National,UP,Normal,TN,normal,2001,False
705,2001,2024,2024-01-19,1054,P,UP001891445TN,DE,0.323,16.0,2001,ENNASR,TN,ARIANA,85567,GRAFING,DE,ALLEMAGNE,National,UP,Normal,TN,normal,2001,False
1822,2001,2024,2024-12-24,1129,P,RR464198695TN,FR,0.823,24.0,2001,ENNASR,TN,ARIANA,91130,RIS ORANGIS,FR,RIS ORANGIS,National,RR,Normal,TN,normal,2001,False
1538,2001,2024,2024-09-25,1115,P,RR464188110TN,FR,0.345,18.0,2001,ENNASR,TN,ARIANA,93110,ROSNY SOUS BOIS,FR,FRANCE,National,RR,Normal,TN,normal,2001,False
1697,2001,2024,2024-11-08,0900,P,RR489388457TN,DE,0.404,18.0,2001,ENNASR,TN,ARIANA,19063,SCHWERIN,DE,SCHWERIN,National,RR,Normal,TN,normal,2001,False
1736,2001,2024,2024-11-27,0810,C,CP318176301TN,BG,2.462,76.0,2001,ENNASR,TN,ARIANA,3784,NOVO SELO,BG,NOVO SELO,National,CP,Normal,TN,normal,2001,False
1738,2001,2024,2024-11-27,1152,P,RR464192595TN,FR,1.157,28.0,2001,ENNASR,TN,ARIANA,83200,TOULON,FR,FRANCE,National,RR,Normal,TN,normal,2001,False
1322,2001,2024,2024-07-26,0837,P,RR442622205TN,BE,0.289,18.0,2001,ENNASR,TN,ARIANA,7000,MONS,BE,MONS,National,RR,Normal,TN,normal,2001,False
1137,2001,2024,2024-06-19,0804,P,RR464094783TN,IT,0.814,24.0,2001,ENNASR,TN,ARIANA,00186,ROMA,IT,ROMA,National,RR,Normal,TN,normal,2001,False
1374,2001,2024,2024-08-08,1141,P,RR464180836TN,FR,0.429,18.0,2001,ENNASR,TN,ARIANA,77470,HAUTS DE TRILPORT,FR,FRANCE,National,RR,Normal,TN,normal,2001,False
1475,2001,2024,2024-09-03,0800,P,RR464183846TN,DE,0.451,18.0,2001,ENNASR,TN,ARIANA,51107,KOLN,DE,KOLN,National,RR,Normal,TN,normal,2001,False
1443,2001,2024,2024-08-26,1054,P,RR464182960TN,FR,1.318,28.0,2001,ENNASR,TN,ARIANA,75D16,PARIS,FR,FRANCE,National,RR,Normal,TN,normal,2001,False
1518,2001,2024,2024-09-17,0807,P,RR464185966TN,IT,0.846,24.0,2001,ENNASR,TN,ARIANA,20125,MILANO,IT,MILANO,National,RR,Normal,TN,normal,2001,False
786,2001,2024,2024-02-22,1139,C,CP311925570TN,IT,3.84,49.0,2001,ENNASR,TN,ARIANA,710010,PESCHIA,IT,ITALIE,National,CP,Normal,TN,normal,2001,False
796,2001,2024,2024-02-26,1131,P,UP001891842TN,FR,0.572,24.0,2001,ENNASR,TN,ARIANA,42430,VEAUCHE,FR,VEAUCHE,National,UP,Normal,TN,normal,2001,False
905,2001,2024,2024-04-15,0832,P,RR445064165TN,IT,1.286,28.0,2001,ENNASR,TN,ARIANA,30028,SAN MICHELE AL TAGLIAMENTO,IT,ITALIE,National,RR,Normal,TN,normal,2001,False
903,2001,2024,2024-04-08,0927,P,RR445065118TN,FR,0.9,24.0,2001,ENNASR,TN,ARIANA,94340,JOIN VILLE LE PONT,FR,JOIN VILLE LE PONT,National,RR,Normal,TN,normal,2001,False
1037,2001,2024,2024-05-20,1449,P,RR445013019TN,BE,0.423,18.0,2001,ENNASR,TN,ARIANA,7000,MONS,BE,MONS,National,RR,Normal,TN,normal,2001,False
84,2131,2024,2024-03-08,0848,C,CP322739091TN,TN,4.044,4.9,2131,SIDI AICH,TN,GAFSA,3080,SFAX,TN,SFAX,National,CP,Normal,TN,normal,2131,False
183,2131,2024,2024-10-30,1103,P,UP000750976TN,TN,0.677,5.5,2131,SIDI AICH,TN,GAFSA,9100,SIDI BOUZID,TN,S BOUZID,National,UP,Normal,TN,normal,2131,False
