IdBordereau,IdBureau,Annee,Date,Heure,RefPaiement,NumEnvoi,IdPays,Poids,Montant,cp,cite,codepays,ville,cpDest,citeDest,paysDest,villeDest,portee,CodeService,type_service,CodeISOPays,type_source,IdBureau_original,est_agence
27,4280,2023,2023-01-30,1531,P,RR398273605TN,TN,0.069,3.7,4230,MENCHIA,TN,KEBILI,1053,LES BERGES DU LAC,TN,TUNIS,National,RR,Normal,TN,normal,4280,False
9073,8056,2023,2023-10-17,1627,C,CP211740428TN,DE,2.78,62.0,8032,SIDI JEDIDI,TN,NABEUL,69502,HEMSBACH,DE,RFA,National,CP,Normal,TN,normal,8056,False
9004,8056,2023,2023-01-30,1540,C,CP310076775TN,DE,3.028,69.0,8032,SIDI JEDIDI,TN,NABEUL,59502,ALLEMAGNE,DE,ALLEMANGNE,National,CP,Normal,TN,normal,8056,False
47,99010,2023,2023-01-25,1541,C,CP321685043TN,TN,3.75,4.6,8100,JENDOUBA,TN,JENDOUBA,8189,BULLARIGIA,TN,JENDOUBA,National,CP,Normal,TN,normal,JENA,True
19,2027,2023,2023-01-30,1547,C,CP303455698TN,CH,6.74,62.0,2083,.,TN,ARIANA,1800,VENCY,CH,.,National,CP,Normal,TN,normal,2027,False
9,2082,2023,2023-01-30,1547,C,CP320150930TN,TN,3.919,4.6,2082,R BAYROUTE,TN,INCONNU,1110,MORNAGUIA,TN,MORNAGUIA,National,CP,Normal,TN,normal,2082,False
15,1110,2023,2023-01-30,1554,C,CP307898039TN,TN,2.085,4.3,1110,MORNAGUIA,TN,MANNOUBA,5080,5080,TN,5080,National,CP,Normal,TN,normal,1110,False
33,3040,2023,2023-01-30,1554,C,CP321305567TN,TN,2.1,4.3,3040,BIR ALI BEN KHELIFA,TN,SFAX,4031,EZZOUHOUR,TN,SOUSSE,National,CP,Normal,TN,normal,3040,False
66,3040,2023,2023-02-17,1107,C,CP321305805TN,TN,2.71,4.3,3040,BIR ALI BEN KHELIFA,TN,SFAX,4200,GBELI,TN,GBELI,National,CP,Normal,TN,normal,3040,False
34,3040,2023,2023-01-30,1547,C,CP321305540TN,CA,3.64,115.0,3040,CITE ENAJEH,TN,SFAX,G5L5R5,APPD2110,CA,RIMOUSKI,National,CP,Normal,TN,normal,3040,False
12,2045,2023,2023-01-30,1550,C,CP311037319TN,TN,5.44,5.2,2045,CITE EL MHIRI,TN,TUNIS,4122,BNI KHDHECH,TN,BNI KHEDECH,National,CP,Normal,TN,normal,2045,False
65,3040,2023,2023-02-17,1105,C,CP321305814TN,TN,6.27,5.5,3040,BIR ALI BEN KHELIFA,TN,SFAX,4070,POSTE,TN,SOUSSE,National,CP,Normal,TN,normal,3040,False
35,3040,2023,2023-01-30,1557,C,CP321305575TN,TN,3.95,4.6,3040,BIR ALI BEN KHELIFA,TN,SFAX,9000,JANDOUBA,TN,JANDOUBA,National,CP,Normal,TN,normal,3040,False
9004,9031,2023,2023-01-30,1552,C,CP320660252TN,TN,2.74,4.3,9000,BEJA,TN,BEJA,4180,JERBA,TN,MEDENINE,National,CP,Normal,TN,normal,9031,False
9012,9031,2023,2023-03-13,1457,C,CP320660270TN,TN,14.4,7.9,9000,BEJA,TN,BEJA,4180,JERBA,TN,MEDENINE,National,CP,Normal,TN,normal,9031,False
36,3040,2023,2023-01-30,1559,C,CP321305553TN,CA,4.6,137.0,3040,BIR ALI BEN KHELIFA,TN,SFAX,QC-G5L5R5,RIMOUSKI,CA,CANDA,National,CP,Normal,TN,normal,3040,False
9,8154,2023,2023-01-30,1603,C,CP317086525TN,TN,4.548,4.9,8154,GHARDIMOU,TN,GHARDIMOU,1000,TUNIS,TN,TUNIS,National,CP,Normal,TN,normal,8154,False
20,2027,2023,2023-01-30,1607,C,CP303455684TN,TN,2.002,4.3,2037,CENTRE COMMERCIAL IKRAM,TN,ARIANA,3100,.,TN,.,National,CP,Normal,TN,normal,2027,False
