id,code_iso_pays,pays_dest,ville_dest,cite_dest,code_postal_dest,portee
52,TN,TN,ZARZIS,ZARZIS,4170,National
53,TN,FR,FRACE,FRANCE,44300,National
54,TN,TN,BEZERTE,BEZERTE,7050,National
55,TN,TN,MONESTIR,MONESTIR,5076,National
56,TN,TN,ZAHRA,ZAHRA,2034,National
57,TN,TN,SIDI BOUZID,CNSS SIDI BOUZID,9100,National
58,TN,TN,SOUSSE,CITE 7 NOVEMBRE,4030,National
59,TN,TN,FAHES,FAHES,1140,National
60,TN,TN,GABES,GHANNOUCH,6021,National
61,TN,TN,TUN,TUN,4051,National
62,TN,TN,NABEL,ABD BEN OTHMEN,8020,National
63,TN,TN,MAHDIA,MAHDIAAHDIA,5174,National
64,TN,FR,LILE,LOOS,59120,National
65,TN,TN,DJERBA,GUECHAINE,4195,National
66,TN,IT,ITALIE,ITALIE,73100,National
67,TN,TN,ELKARAM,RUE RAID MOHAMED ELBJAOUI,2015,National
68,TN,TN,.,GASRIN,1200,National
69,TN,TN,JENDOUBA,JENDOUBA,8100,National
70,TN,TN,BELLARIGIA,BELLARIGIA,8117,National
71,TN,TN,GAAFOUR 95215949,GAAFOUR,6110,National
72,TN,TN,KAIROIN,KAROUN,3110,National
73,TN,TN,SEBTLA,KARAA,1250,National
74,TN,TN,HAIDRA,HAIDRA,1221,National
75,TN,TN,1284,SEBTLA,1284,National
76,TN,TN,BAJA,BAJA,9060,National
77,TN,TN,MOUNASTIR,MESTIR,5020,National
78,TN,TN,MANNOUBA,CHAOUET,1134,National
79,TN,FR,MALMAISON,MALMAISON,92500,National
80,TN,TN,SBIBA,SBIBA,1270,National
81,TN,TN,GABESGABES,CHENENI,6041,National
82,TN,FR,PARIS,ASNIERES SUR SEINE,92600,National
83,TN,TN,KEBILLI,KEBILLI,4214,National
84,TN,IT,SERRAMAZONI,SERRAMAZONI MO,41028,National
85,TN,CA,QUEBEC,CHATEAUGUAY,J6K3H4,National
86,TN,AT,LINZ,LINZ,24.4020,National
87,TN,TN,GHOMRASSNE,TATAOUINE,3220,National
88,TN,QA,DOUHA,WIHDA 0 ZONE 52,Inconnu,National
89,TN,DE,GERMANY,OLDENBURG,626127,National
90,TN,FR,PARIS FRANCE,PARIS,94400,National
91,TN,SA,ARABIE SAOUDITE,ARABIE SAOUDITE,7507,National
92,TN,TN,KEF,KEF,7160,National
93,TN,MR,MAURITANIE,MAURITANIE,00000,National
94,TN,TN,TUNISIA,INCONNU,0000,National
95,TN,TN,KAIRAWAN,INCONNU,0000,National
96,TN,TN,MANOUBA,INCONNU,2086,National
97,TN,TN,TADHAMEN,INCONNU,2095,National
