bureau_id,gouvernorat,type_bureau,nb_colis,ca_total,poids_moyen,montant_moyen,nb_annees_actif,nb_mois_actif,nb_intl,nb_ems_n,nb_rpp_i,nb_normal,premiere_annee,derniere_annee,taux_intl,taux_ems_n,taux_rpp_i,taux_normal,ca_par_colis,activite,cluster,segment
297,Tunis,Bureau,2514,35531.04999999999,3.7176844868735155,14.133273667462207,4,12,269,888,254,1357,2023,2026,0.10700079554494829,0.3532219570405728,0.10103420843277645,0.539777247414479,14.133273667462207,1.0,2,Bureaux colis normaux
298,Sfax,Bureau,439,7591.800000000001,1.5534168564920252,17.29339407744875,4,12,37,205,35,197,2023,2026,0.08428246013667426,0.46697038724373574,0.07972665148063782,0.44874715261959,17.29339407744875,1.0,0,Bureaux express nationaux standards
299,Sfax,Bureau,1134,39610.400000000016,1.207984126984122,34.92980599647268,4,12,395,665,395,74,2023,2026,0.34832451499118167,0.5864197530864198,0.34832451499118167,0.06525573192239859,34.92980599647268,1.0,1,Bureaux internationaux premium
300,Monastir,Bureau,5316,51153.24999999998,0.35211591422121186,9.622507524454473,4,12,413,3755,413,1148,2023,2026,0.07768999247554552,0.7063581640331076,0.07768999247554552,0.21595184349134688,9.622507524454473,1.0,0,Bureaux express nationaux standards
301,Tunis,Bureau,1402,37315.300000000025,1.6313758915834502,26.61576319543511,4,12,205,225,204,972,2023,2026,0.14621968616262482,0.16048502139800286,0.14550641940085593,0.6932952924393724,26.61576319543511,1.0,2,Bureaux colis normaux
302,Gabès,Bureau,591,10765.600000000006,1.8500981387478916,18.215905245346878,4,12,60,408,58,123,2023,2026,0.10152284263959391,0.6903553299492385,0.09813874788494077,0.20812182741116753,18.215905245346878,1.0,0,Bureaux express nationaux standards
303,Médenine,Bureau,9497,250708.20000000042,1.4445076550489595,26.3986732652417,4,12,1853,5233,1813,2411,2023,2026,0.1951142466041908,0.551016110350637,0.1909023902284932,0.2538696430451722,26.3986732652417,1.0,0,Bureaux express nationaux standards
304,Tataouine,Bureau,8607,165905.6000000001,1.3842435459509899,19.275659347043117,4,12,1189,5810,1186,1608,2023,2026,0.13814337167421867,0.6750319507377716,0.13779481817125597,0.18682467758800975,19.275659347043117,1.0,0,Bureaux express nationaux standards
305,Monastir,Bureau,144,1223.8,0.9191666666666671,8.49861111111111,4,12,20,56,1,68,2023,2026,0.1388888888888889,0.3888888888888889,0.006944444444444444,0.4722222222222222,8.49861111111111,1.0,0,Bureaux express nationaux standards
306,Sfax,Bureau,2817,51937.5,0.9341720269790552,18.43716719914803,4,12,535,2033,535,249,2023,2026,0.18991835285765,0.7216897408590699,0.18991835285765,0.08839190628328009,18.43716719914803,1.0,0,Bureaux express nationaux standards
307,Sfax,Bureau,688,18349.05,1.54716715116279,26.670130813953488,4,12,117,283,117,288,2023,2026,0.17005813953488372,0.4113372093023256,0.17005813953488372,0.4186046511627907,26.670130813953488,1.0,1,Bureaux internationaux premium
308,Sousse,Bureau,891,28113.34999999999,2.940207631874301,31.552581369248028,4,12,118,408,118,365,2023,2026,0.1324354657687991,0.45791245791245794,0.1324354657687991,0.409652076318743,31.552581369248028,1.0,0,Bureaux express nationaux standards
309,Sousse,Bureau,3835,125031.35000000011,1.5533945241199452,32.60269882659716,4,12,632,2505,628,698,2023,2026,0.16479791395045632,0.6531942633637549,0.163754889178618,0.1820078226857888,32.60269882659716,1.0,0,Bureaux express nationaux standards
310,Tunis,Bureau,1316,25009.19999999999,1.2410410334346513,19.00395136778115,4,12,108,640,108,568,2023,2026,0.08206686930091185,0.48632218844984804,0.08206686930091185,0.4316109422492401,19.00395136778115,1.0,0,Bureaux express nationaux standards
311,Monastir,Bureau,15796,171794.8999999999,0.5984759116232016,10.87584831602937,4,12,1715,10501,1713,3580,2023,2026,0.10857179032666497,0.6647885540643201,0.10844517599392252,0.22663965560901495,10.87584831602937,1.0,0,Bureaux express nationaux standards
312,Kasserine,Bureau,736,17599.85,2.563672554347833,23.91283967391304,4,12,119,515,119,102,2023,2026,0.16168478260869565,0.6997282608695652,0.16168478260869565,0.13858695652173914,23.91283967391304,1.0,0,Bureaux express nationaux standards
313,Gabès,Bureau,7332,56617.94999999987,0.2884515821058309,7.722033551554811,4,12,221,6795,219,316,2023,2026,0.030141843971631204,0.926759410801964,0.029869067103109655,0.0430987452264048,7.722033551554811,1.0,0,Bureaux express nationaux standards
314,Monastir,Bureau,467,2731.8999999999983,2.4282826552462513,5.84989293361884,4,12,8,17,8,442,2023,2026,0.017130620985010708,0.03640256959314775,0.017130620985010708,0.9464668094218416,5.84989293361884,1.0,2,Bureaux colis normaux
315,Sousse,Bureau,51,1454.3000000000002,1.8217058823529408,28.515686274509807,4,12,12,11,8,28,2023,2026,0.23529411764705882,0.21568627450980393,0.1568627450980392,0.5490196078431373,28.515686274509807,1.0,1,Bureaux internationaux premium
316,Monastir,Bureau,2101,32916.59999999996,1.6018098524512159,15.667110899571615,4,12,224,627,224,1250,2023,2026,0.10661589719181343,0.29842931937172773,0.10661589719181343,0.5949547834364588,15.667110899571615,1.0,2,Bureaux colis normaux
317,Sfax,Bureau,1692,33606.7,0.8383439716312053,19.862115839243497,4,12,334,1282,334,76,2023,2026,0.19739952718676124,0.7576832151300237,0.19739952718676124,0.04491725768321513,19.862115839243497,1.0,0,Bureaux express nationaux standards
318,Ariana,Bureau,176,3639.9000000000005,2.326909090909091,20.681250000000002,4,12,3,17,1,156,2023,2026,0.017045454545454544,0.09659090909090909,0.005681818181818182,0.8863636363636364,20.681250000000002,1.0,2,Bureaux colis normaux
319,Sfax,Bureau,1248,11147.500000000005,2.2046298076923128,8.932291666666671,4,12,54,905,38,289,2023,2026,0.04326923076923077,0.7251602564102564,0.030448717948717948,0.23157051282051283,8.932291666666671,1.0,0,Bureaux express nationaux standards
320,Sousse,Bureau,364,2860.600000000001,1.5720906593406596,7.858791208791211,4,12,26,215,26,123,2023,2026,0.07142857142857142,0.5906593406593407,0.07142857142857142,0.33791208791208793,7.858791208791211,1.0,0,Bureaux express nationaux standards
321,Sfax,Bureau,349,4704.9,2.2908137535816584,13.481088825214899,4,12,27,210,14,112,2023,2026,0.07736389684813753,0.6017191977077364,0.04011461318051576,0.3209169054441261,13.481088825214899,1.0,0,Bureaux express nationaux standards
322,Sfax,Bureau,481,13282.900000000001,2.5041072765072703,27.61517671517672,4,12,46,230,46,205,2023,2026,0.09563409563409564,0.4781704781704782,0.09563409563409564,0.4261954261954262,27.61517671517672,1.0,0,Bureaux express nationaux standards
323,Tataouine,Bureau,6672,142451.39999999988,1.496812994604328,21.35062949640286,4,12,920,4458,911,1294,2023,2026,0.13788968824940048,0.6681654676258992,0.13654076738609114,0.19394484412470023,21.35062949640286,1.0,0,Bureaux express nationaux standards
324,Kasserine,Bureau,1520,16725.19999999999,1.1429210526315765,11.003421052631571,4,12,73,1000,73,447,2023,2026,0.04802631578947368,0.6578947368421053,0.04802631578947368,0.29407894736842105,11.003421052631571,1.0,0,Bureaux express nationaux standards
325,Sousse,Bureau,2173,33783.600000000035,3.94033106304649,15.546985734008299,4,12,155,1116,155,902,2023,2026,0.0713299585826047,0.5135757017947538,0.0713299585826047,0.41509433962264153,15.546985734008299,1.0,2,Bureaux colis normaux
326,Ariana,Bureau,2588,84079.10000000002,1.372282843894875,32.488060278207115,4,12,645,1563,645,380,2023,2026,0.24922720247295208,0.6039412673879444,0.24922720247295208,0.14683153013910355,32.488060278207115,1.0,1,Bureaux internationaux premium
327,Kairouan,Bureau,79,2322.9,5.9647721518987336,29.40379746835443,4,12,5,26,3,48,2023,2026,0.06329113924050633,0.3291139240506329,0.0379746835443038,0.6075949367088608,29.40379746835443,1.0,2,Bureaux colis normaux
328,Sfax,Bureau,1809,25749.900000000176,0.8114806522940835,14.234328358209053,4,12,0,0,0,1809,2023,2026,0.0,0.0,0.0,1.0,14.234328358209053,1.0,2,Bureaux colis normaux
329,Kasserine,Bureau,198,4945.400000000001,1.2936616161616155,24.97676767676768,4,12,25,139,17,34,2023,2026,0.12626262626262627,0.702020202020202,0.08585858585858586,0.1717171717171717,24.97676767676768,1.0,0,Bureaux express nationaux standards
330,Tunis,Bureau,2069,53208.65000000001,0.9605190913484769,25.717085548574193,4,12,426,1435,343,208,2023,2026,0.20589656839052684,0.6935717738037699,0.16578057032382792,0.10053165780570324,25.717085548574193,1.0,0,Bureaux express nationaux standards
331,Tataouine,Bureau,3282,36765.2,1.1297037781840331,11.202071907373552,4,12,152,472,149,2658,2023,2026,0.04631322364411944,0.14381474710542352,0.045399146861669716,0.8098720292504571,11.202071907373552,1.0,2,Bureaux colis normaux
332,Gafsa,Bureau,346,7495.0999999999985,1.9931089595375722,21.662138728323693,4,12,1,133,0,212,2023,2026,0.002890173410404624,0.38439306358381503,0.0,0.6127167630057804,21.662138728323693,1.0,2,Bureaux colis normaux
333,Sfax,Bureau,1662,28841.449999999983,1.5919981949458535,17.353459687123937,4,12,98,1093,98,471,2023,2026,0.05896510228640193,0.6576413959085439,0.05896510228640193,0.2833935018050541,17.353459687123937,1.0,0,Bureaux express nationaux standards
334,Sfax,Bureau,397,4378.800000000001,3.1653274559193902,11.02972292191436,4,12,26,170,15,201,2023,2026,0.0654911838790932,0.4282115869017632,0.037783375314861464,0.5062972292191436,11.02972292191436,1.0,2,Bureaux colis normaux
335,Sousse,Bureau,1012,22560.799999999996,1.971478260869558,22.29328063241106,4,12,130,655,129,227,2023,2026,0.12845849802371542,0.6472332015810277,0.1274703557312253,0.22430830039525693,22.29328063241106,1.0,0,Bureaux express nationaux standards
336,Ariana,Bureau,54,784.1499999999997,2.5700555555555558,14.521296296296292,4,12,2,6,1,46,2023,2026,0.037037037037037035,0.1111111111111111,0.018518518518518517,0.8518518518518519,14.521296296296292,1.0,2,Bureaux colis normaux
337,Kairouan,Bureau,87,429.90000000000003,3.5095977011494255,4.941379310344828,4,11,0,8,0,79,2023,2026,0.0,0.09195402298850575,0.0,0.9080459770114943,4.941379310344828,0.9166666666666666,2,Bureaux colis normaux
338,Ariana,Bureau,521,20986.30000000001,1.641307101727449,40.28080614203457,4,12,141,149,140,231,2023,2026,0.2706333973128599,0.28598848368522073,0.2687140115163148,0.44337811900191937,40.28080614203457,1.0,1,Bureaux internationaux premium
339,Kasserine,Bureau,1114,43991.70000000001,3.0095718132854565,39.48985637342909,4,12,108,566,98,440,2023,2026,0.09694793536804308,0.5080789946140036,0.08797127468581688,0.39497307001795334,39.48985637342909,1.0,0,Bureaux express nationaux standards
340,Monastir,Bureau,5321,179798.6000000008,1.9066417402743996,33.790377748543655,4,12,758,3590,756,973,2023,2026,0.14245442585980078,0.6746852095470777,0.14207855666228153,0.1828603645931216,33.790377748543655,1.0,0,Bureaux express nationaux standards
341,Tataouine,Bureau,458,6187.399999999991,1.2579279475982519,13.509606986899545,4,12,24,176,19,258,2023,2026,0.05240174672489083,0.38427947598253276,0.04148471615720524,0.5633187772925764,13.509606986899545,1.0,2,Bureaux colis normaux
342,Gabès,Bureau,1689,21064.399999999998,0.7653943161634057,12.471521610420366,4,12,154,1365,116,170,2023,2026,0.09117821195973949,0.8081705150976909,0.06867969212551805,0.10065127294256956,12.471521610420366,1.0,0,Bureaux express nationaux standards
343,Médenine,Bureau,716,21451.649999999998,2.2190642458100527,29.960405027932957,4,12,119,189,118,408,2023,2026,0.16620111731843576,0.2639664804469274,0.164804469273743,0.5698324022346368,29.960405027932957,1.0,1,Bureaux internationaux premium
344,Ariana,Bureau,957,39136.49999999998,2.010933124346914,40.894984326018786,4,12,233,589,177,135,2023,2026,0.24346917450365727,0.6154649947753396,0.18495297805642633,0.14106583072100312,40.894984326018786,1.0,1,Bureaux internationaux premium
345,Kasserine,Bureau,71,580.2,3.360535211267606,8.171830985915493,4,12,1,38,1,32,2023,2026,0.014084507042253521,0.5352112676056338,0.014084507042253521,0.4507042253521127,8.171830985915493,1.0,2,Bureaux colis normaux
