IdBordereau;IdBureau;Annee;Date;Heure;RefPaiement;NumEnvoi;IdPays;Poids;Montant;cp;cite;codepays;ville;cpDest;citeDest;paysDest;villeDest
"00009041";"4059";"2023";"02/10/2023";"0856";"P";"UP000781046TN";"AU";"1.548";"26.0";"4051";"SOUSSE";"TN";"SOUSSE";"2142";"GRANVILLE";"AU";"SUDNEY"
"00000037";"8040";"2023";"02/10/2023";"0900";"C";"CP315643353TN";"TN";"2.2";"4.3";"8040";"BOU ARGOUB";"TN";"NABEUL";"5136";"mahdia";"TN";"mahdia"
"00000133";"1110";"2023";"02/10/2023";"0903";"C";"CP307896792TN";"TN";"8.92";"6.1";"1110";"MORNAGUIA";"TN";"MANNOUBA";"6031";"6031";"TN";"6031"
"00000268";"5020";"2023";"02/10/2023";"0902";"P";"UP001047273TN";"CA";"1.85";"26.0";"5020";"JL";"TN";"MONASTIR";"723";"CANADA";"CA";"CANADA"
"00000040";"4230";"2023";"02/10/2023";"0903";"C";"CP320789651TN";"TN";"11.64";"7.0";"4230";"souk";"TN";"KEBILI";"5070";"cite riadh";"TN";"monastir"
"00000017";"2140";"2023";"02/10/2023";"0906";"C";"CP320757747TN";"TN";"4.5";"4.9";"2120";"REDEYEF";"TN";"GAFSA";"7120";"SAKIT SIDI YOUSSEF";"TN";"SAKIT SIDI YOUSSEF"
"00000223";"3027";"2023";"26/09/2023";"0909";"C";"CP320627132TN";"TN";"7.52";"5.8";"3027";"SFAX EL JADIDA";"TN";"SFAX";"KAS";"KAS";"TN";"1200"
"00000041";"4230";"2023";"02/10/2023";"0908";"C";"CP320789665TN";"TN";"10.94";"6.7";"4230";"SOUK EL AHAD";"TN";"KEBILI";"5070";"cite riadh";"TN";"monastir"
"00000224";"3027";"2023";"26/09/2023";"0910";"C";"CP321343517TN";"TN";"2.0825";"4.3";"3027";"SFAX EL JADIDA";"TN";"SFAX";"2212";"2212";"TN";"2212"
"00000153";"4230";"2023";"13/12/2023";"0840";"C";"CP322041535TN";"TN";"16.2";"8.5";"4230";"SOUK EL AHAD";"TN";"KEBILI";"5082";"KSAR HLEL";"TN";"MONASTIR"
