IdBordereau;IdBureau;Annee;Date;Heure;RefPaiement;NumEnvoi;IdPays;Poids;Montant;cp;cite;codepays;ville;cpDest;citeDest;paysDest;villeDest
"00001058";"9070";"2026";"23/02/2026";"1009";"C";"CP325560905TN";"FR";"16.78";"134.0";"9070";"cite sidi raies";"TN";"MEDJEZ";"67400";"STRASBOURG";"FR";"FRANCE"
"00001098";"9070";"2026";"27/03/2026";"0856";"C";"CP325561013TN";"FR";"20.16";"158.0";"9070";"cite sidi raies";"TN";"beja";"67400";"STRASBOURG";"FR";"FRANCE"
"00001007";"9070";"2026";"02/02/2026";"1627";"C";"CP323239287TN";"FR";"19.38";"152.0";"9070";"cite sidi raies";"TN";"beja";"67400";"STRASBOURG";"FR";"FRANCE"
"00001006";"9070";"2026";"02/02/2026";"1621";"C";"CP323239295TN";"FR";"25.54";"188.0";"9070";"cite sidi raies";"TN";"beja";"67400";"STRASBOURG";"FR";"FRANCE"
"00001041";"9070";"2026";"16/02/2026";"1703";"C";"CP325560865TN";"FR";"18.56";"146.0";"9070";"cite sidi raies";"TN";"beja";"67400";"ILLKRICH STRASBOURG";"FR";"FRANCE"
"00001042";"9070";"2026";"16/02/2026";"1715";"C";"CP325560857TN";"FR";"6.02";"74.0";"9070";"cite sidi raies";"TN";"beja";"67400";"ILLKRICH STRASBOURG";"FR";"FRANCE"
"00000616";"4083";"2026";"19/01/2026";"1010";"P";"UP003483948TN";"TN";"1.235";"6.5";"4083";"HAMMAM SOUSSE PLAGE";"TN";"SOUSSE";"2112";"GAFSA";"TN";"GAFSA"
"00000656";"4083";"2026";"20/04/2026";"1407";"C";"CP312037522TN";"FR";"3.472";"56.0";"4083";"HAMMAM SOUSSE PLAGE";"TN";"SOUSSE";"59840";"PERENCHIES";"FR";"FRANCE"
"00000657";"4083";"2026";"28/04/2026";"1451";"P";"UP002140005TN";"TN";"1.81";"6.5";"4083";"HAMMAM SOUSSE PLAGE";"TN";"SOUSSE";"2112";"GAFSA";"TN";"GAFSA"
"00000672";"4083";"2026";"20/05/2026";"1601";"C";"CP312037482TN";"FR";"2.55";"50.0";"4083";"HAMMAM SOUSSE PLAGE";"TN";"SOUSSE";"83500";"LA SEYNE SUR MER";"FR";"FRANCE"
