IdBordereau;IdBureau;Annee;Date;Heure;RefPaiement;NumEnvoi;IdPays;Poids;Montant;cp;cite;codepays;ville;cpDest;citeDest;paysDest;villeDest
"00000743";"2260";"2024";"04/01/2024";"1144";"C";"CP321216694TN";"TN";"2.394";"4.3";"2260";"rue souk";"TN";"degache";"1002";"tunis";"TN";"tunis"
"00000683";"2001";"2024";"09/01/2024";"0823";"P";"UP001891326TN";"FR";"1.942";"26.0";"2001";"ENNASR";"TN";"ARIANA ";"133340";"ROGNAC";"FR";"ROGNAC"
"00000747";"2001";"2024";"07/02/2024";"1103";"P";"UP001891670TN";"FR";"0.487";"16.0";"2001";"ENNASR";"TN";"ARIANA ";"13300";"salon de provence";"FR";"france"
"00000705";"2001";"2024";"19/01/2024";"1054";"P";"UP001891445TN";"DE";"0.323";"16.0";"2001";"ENNASR";"TN";"ARIANA ";"85567";"GRAFING";"DE";"ALLEMAGNE"
"00001822";"2001";"2024";"24/12/2024";"1129";"P";"RR464198695TN";"FR";"0.823";"24.0";"2001";"ENNASR";"TN";"ARIANA ";"91130";"RIS ORANGIS";"FR";"RIS ORANGIS"
"00001538";"2001";"2024";"25/09/2024";"1115";"P";"RR464188110TN";"FR";"0.345";"18.0";"2001";"ENNASR";"TN";"ARIANA ";"93110";"ROSNY SOUS BOIS";"FR";"FRANCE"
"00001697";"2001";"2024";"08/11/2024";"0900";"P";"RR489388457TN";"DE";"0.404";"18.0";"2001";"ENNASR";"TN";"ARIANA ";"19063";"SCHWERIN";"DE";"SCHWERIN"
"00001736";"2001";"2024";"27/11/2024";"0810";"C";"CP318176301TN";"BG";"2.462";"76.0";"2001";"ENNASR";"TN";"ARIANA ";"3784";"NOVO SELO";"BG";"NOVO SELO"
"00001738";"2001";"2024";"27/11/2024";"1152";"P";"RR464192595TN";"FR";"1.157";"28.0";"2001";"ENNASR";"TN";"ARIANA ";"83200";"TOULON";"FR";"FRANCE"
"00001322";"2001";"2024";"26/07/2024";"0837";"P";"RR442622205TN";"BE";"0.289";"18.0";"2001";"ENNASR";"TN";"ARIANA ";"7000";"MONS";"BE";"MONS"
"00001137";"2001";"2024";"19/06/2024";"0804";"P";"RR464094783TN";"IT";"0.814";"24.0";"2001";"ENNASR";"TN";"ARIANA ";"00186";"ROMA";"IT";"ROMA"
"00001374";"2001";"2024";"08/08/2024";"1141";"P";"RR464180836TN";"FR";"0.429";"18.0";"2001";"ENNASR";"TN";"ARIANA ";"77470";"HAUTS DE TRILPORT";"FR";"FRANCE"
"00001475";"2001";"2024";"03/09/2024";"0800";"P";"RR464183846TN";"DE";"0.451";"18.0";"2001";"ENNASR";"TN";"ARIANA ";"51107";"KOLN";"DE";"KOLN"
"00001443";"2001";"2024";"26/08/2024";"1054";"P";"RR464182960TN";"FR";"1.318";"28.0";"2001";"ENNASR";"TN";"ARIANA ";"75D16";"PARIS";"FR";"FRANCE"
"00001518";"2001";"2024";"17/09/2024";"0807";"P";"RR464185966TN";"IT";"0.846";"24.0";"2001";"ENNASR";"TN";"ARIANA ";"20125";"MILANO";"IT";"MILANO"
"00000786";"2001";"2024";"22/02/2024";"1139";"C";"CP311925570TN";"IT";"3.84";"49.0";"2001";"ENNASR";"TN";"ARIANA ";"710010";"PESCHIA";"IT";"ITALIE"
"00000796";"2001";"2024";"26/02/2024";"1131";"P";"UP001891842TN";"FR";"0.572";"24.0";"2001";"ENNASR";"TN";"ARIANA ";"42430";"veauche";"FR";"veauche"
"00000905";"2001";"2024";"15/04/2024";"0832";"P";"RR445064165TN";"IT";"1.286";"28.0";"2001";"ENNASR";"TN";"ARIANA ";"30028";"SAN MICHELE AL TAGLIAMENTO";"IT";"ITALIE"
"00000903";"2001";"2024";"08/04/2024";"0927";"P";"RR445065118TN";"FR";"0.9";"24.0";"2001";"ENNASR";"TN";"ARIANA ";"94340";"JOIN VILLE LE PONT";"FR";"JOIN VILLE LE PONT"
"00001037";"2001";"2024";"20/05/2024";"1449";"P";"RR445013019TN";"BE";"0.423";"18.0";"2001";"ENNASR";"TN";"ARIANA ";"7000";"MONS";"BE";"MONS"
"00000084";"2131";"2024";"08/03/2024";"0848";"C";"CP322739091TN";"TN";"4.044";"4.9";"2131";"SIDI AICH";"TN";"GAFSA";"3080";"SFAX";"TN";"SFAX"
"00000183";"2131";"2024";"30/10/2024";"1103";"P";"UP000750976TN";"TN";"0.677";"5.5";"2131";"SIDI AICH";"TN";"GAFSA";"9100";"SIDI BOUZID";"TN";"S BOUZID"
"00000184";"2131";"2024";"30/10/2024";"1107";"P";"UP000750962TN";"TN";"1.423";"6.5";"2131";"SIDI AICH";"TN";"GAFSA";"3214";"TLELA";"TN";"TATAOINE"
"00000261";"1082";"2024";"26/02/2024";"0822";"C";"CP311002102TN";"ES";"27.98";"195.0";"1082";"MAHRAJENE";"TN";"TUNIS";"23006";"JAEN";"ES";"ESPAGNE"
"00000809";"2001";"2024";"29/02/2024";"1437";"C";"CP311925420TN";"FR";"17.65";"140.0";"2001";"ariana";"TN";"ennaser";"94000";"CRETEIL";"FR";"FRANCE"
"00001071";"2001";"2024";"30/05/2024";"1017";"C";"CP318177430TN";"FR";"14.77";"122.0";"2001";"ariana";"TN";"ennaser";"94000";"CRETEIL";"FR";"FRANCE"
"00001585";"2001";"2024";"10/10/2024";"1005";"C";"CP318176615TN";"FR";"15.37";"128.0";"2001";"ariana";"TN";"ennaser";"94000";"CRETEIL";"FR";"FRANCE"
"00000114";"2016";"2024";"21/02/2024";"1002";"C";"CP306564895TN";"US";"3.62";"120.0";"2016";"carthgae";"TN";"CARTHAGE";"90250";"california";"US";"usa"
"00000572";"2083";"2024";"27/08/2024";"0737";"P";"UP001881567TN";"TN";"0.445";"5.0";"2083";"ariana";"TN";"ariana ";"7130";"kef";"TN";"kef "
"00000685";"2083";"2024";"07/10/2024";"0812";"P";"UP001882430TN";"TN";"1.326";"6.5";"2083";"ariana";"TN";"ariana ";"7130";"kef";"TN";"kef "
"00000726";"2083";"2024";"22/10/2024";"0815";"C";"CP202737540TN";"TN";"4.4";"4.9";"2083";"ariana";"TN";"ariana ";"7130";"kef";"TN";"kef "
"00000739";"2083";"2024";"28/10/2024";"0829";"P";"UP001882797TN";"TN";"1.434";"6.5";"2083";"ariana";"TN";"ariana ";"7130";"kef";"TN";"kef "
"00000249";"2083";"2024";"22/01/2024";"0802";"C";"CP202735932TN";"TN";"2.016";"4.3";"2083";"ariana";"TN";"ariana ";"4200";"RTE DE GABES";"TN";"KEBILI"
"00000699";"2083";"2024";"16/10/2024";"0809";"P";"UP001882576TN";"TN";"1.435";"6.5";"2083";"ariana";"TN";"ariana ";"9100";"sidi bouzid";"TN";"sidi bouzid"
"00000686";"2083";"2024";"07/10/2024";"0813";"P";"UP001882443TN";"TN";"1.325";"6.5";"2083";"ariana";"TN";"ariana ";"1152";"tunis";"TN";"tunis"
"00000687";"2083";"2024";"07/10/2024";"0815";"P";"UP001882457TN";"TN";"1.788";"6.5";"2083";"ariana";"TN";"ariana ";"8030";"nabeul";"TN";"nabeul"
"00000729";"2083";"2024";"23/10/2024";"0806";"P";"UP001882704TN";"TN";"1.43";"6.5";"2083";"ariana";"TN";"ariana ";"8000";"NABEUL";"TN";"NABEUL"
"00000730";"2083";"2024";"23/10/2024";"0808";"P";"UP001882718TN";"TN";"1.283";"6.5";"2083";"ariana";"TN";"ariana ";"70000";"BIZERTE";"TN";"7000"
"00000731";"2083";"2024";"23/10/2024";"0810";"P";"UP001882721TN";"TN";"0.651";"5.5";"2083";"ariana";"TN";"ariana ";"31000";"KAIROUAN";"TN";"KAIROOUANE"
"00000721";"2083";"2024";"21/10/2024";"1604";"P";"UP001882655TN";"TN";"0.849";"5.5";"2083";"ariana";"TN";"ariana ";"1100";"zaghouan";"TN";"zaghouan"
"00000674";"2083";"2024";"02/10/2024";"1514";"P";"UP001882324TN";"TN";"1.117";"6.5";"2083";"ariana";"TN";"ariana ";"1100";"zaghouan";"TN";"zaghouan"
"00000675";"2083";"2024";"02/10/2024";"1515";"P";"UP001882315TN";"TN";"0.712";"5.5";"2083";"ariana";"TN";"ariana ";"4061";"sousse";"TN";"sousse"
"00000725";"2083";"2024";"22/10/2024";"0812";"P";"UP001882681TN";"TN";"1.482";"6.5";"2083";"ariana";"TN";"ariana ";"8070";"NABEUL";"TN";"NABEUL"
"00000738";"2083";"2024";"28/10/2024";"0828";"P";"UP001882783TN";"TN";"0.867";"5.5";"2083";"ariana";"TN";"ariana ";"8070";"NABEUL";"TN";"NABEUL"
